lesson_title,cefr_level,uuid,grammar_tags,vocabulary_tags,learning_language,content_type
Interjections 2 (French),A1,7c49893d-bfbd-4def-936f-6b5b3cadaeb0,interjection,"clothes_shoes, languages, numbers",French,by_yourself
Relative (French),B1,18a75def-8c30-4d4f-85bb-a9e775fa1e4b,"pronoun:relative, number_ordinal",identification,French,Live
Ordinal numbers 3 (French),C1,c1a1de50-bedb-42b0-87ab-27f4ae9ab907,number_ordinal,"death, family",French,cards
Dative case (French),A2,40e9f602-0124-4cc8-af53-f50ee33e5caa,"noun:dative_case, determiner:partitive_article","animals_wild, year_season_month, groceries_grains",French,Live
Direct object (French),B1,0bbefcfe-3208-47bd-a895-c8a7c7fc9cd2,pronoun:direct_object,"groceries_animal_products, colors, languages, public_transit_trains",French,cards
Plural (French),C2,6951058c-fa7c-47ca-83fa-107533e2dae3,"noun:plural, verb:subjunctive_mood, noun:nominative_case","nature_landscapes, animals_wild, town_city, groceries_animal_products",French,cards
Conjunctions 4 (French),C2,57e9b8c1-5318-43c7-810c-0bb0446a3caf,"conjunction, noun:accusative_case","love, yard_garden",French,by_yourself
Past tense (French),A2,e58737bf-e5cd-49e5-835f-2b244ef6c2bc,"verb:past_tense, pronoun:impersonal, noun:gender","phones, planes_airports, clothes_shoes, colors, politics",French,by_yourself
Indefinite article (French),C1,5efbadac-7933-4333-ab2d-a22ede42c655,"determiner:indefinite_article, adjective:comparative","work_life, animals_wild, money_banking",French,cards
Future tense (French),A1,f53764c8-ffc7-445c-9984-e3145229b6ad,verb:future_tense,"traditions_celebrations, week_dates, emotions_states, cars",French,cards
Modal (French),B1,aa725a9d-1e7a-4aea-8e9a-8ca3b714ff7c,"verb:modal, adjective:superlative","environmental_issues, senses, materials, going_out",French,Live
Personal (French),A1,b1c728ba-df67-40cc-8f59-87e4b9e5855e,"pronoun:personal, adjective:comparative, determiner:demonstrative",job_applications,French,section
Appreciative derivation (French),A2,fae5ad98-951a-41ad-9c58-e85e5a1600d3,"noun:appreciative_derivation, verb:infinitive",locations_directions,French,section
Interrogative (French),A2,cc47d518-cb74-433d-9bcd-97df3041f4a1,pronoun:interrogative,"clock_time_of_day, sweets_desserts, going_out, boats_ships, hotels_accomodation",French,Live
Indirect object (French),B2,119ae94f-b711-4803-af6f-ae7125e029fa,"pronoun:indirect_object, adjective:absolute_superlative, noun:appreciative_derivation","house_rooms, business, traditions_celebrations, space",French,section
Adverbial (French),A2,ddc62c86-9faf-4d89-9c2b-3c2f23dbe4ef,"pronoun:adverbial, pronoun:relative, pronoun:interrogative","weather_climate, love, emotions_states",French,cards
Auxiliary (French),C2,d21e1eec-b730-479a-a3df-67909f30f647,verb:auxiliary,"identification, hotels_accomodation, childhood, town_city, accidents_catastrophes",French,Live
Interrogatives and conjunctions (French),B2,497d34e1-49a1-4bf4-8401-846dc8275334,"conjunction, noun:singular, pronoun:interrogative",traditions_celebrations,French,by_yourself
Dative case (French),C2,5b24f066-8ae6-4d71-8c78-47a864a93284,noun:dative_case,"countryside, friends",French,by_yourself
Present tense (French),A2,47b083ba-f4c2-44f3-8147-2d4cdf206fb8,"verb:present_tense, noun:singular, pronoun:direct_object","senses, natural_sciences, appliances, emotions_states, non_understanding",French,by_yourself
Demonstrative (French),A1,b087d23e-b7b3-4708-ba81-42e14e6ed63d,"determiner:demonstrative, interjection, determiner:possessive","sweets_desserts, religions, furniture_decor",French,Live
Direct object (French),A2,395c0c07-4120-456b-80d9-506db03771b2,"pronoun:direct_object, verb:imperative_mood, adverb","death, media, old_age, professions, family",French,by_yourself
Singular (French),C2,7e8f1bdb-17f8-4126-bddc-690e7c2d9e3b,"noun:singular, verb:gerund, pronoun:stressed","animals_wild, illness_injury",French,by_yourself
Direct object (French),C2,5eeec325-67d3-4dc6-9273-a9dd071373b3,pronoun:direct_object,materials,French,section
Indirect object (French),B2,f1a96697-a8be-4b92-af35-27b10634a2ba,"pronoun:indirect_object, noun:appreciative_derivation, pronoun:direct_object","vacation, week_dates, business",French,section
Demonstratives and subjunctions (French),B2,6271d88e-4aee-4847-a23f-748be0ec3971,"subjunction, pronoun:demonstrative","family, accidents_catastrophes, outdoors",French,by_yourself
Negation (French),B2,9d6c8820-47d9-4158-b16c-de11584b4230,sentence:negation,"sweets_desserts, dishes, business, greetings_goodbyes",French,section
Gender (French),B2,fafdbcd9-fe8a-443d-8a1d-57c2332f2ca7,"noun:gender, verb:imperfect_aspect","house_rooms, theater_shows, hotels_accomodation",French,cards
Irregular (French),A1,e901a877-04e1-4fd9-b5dc-9564a51461d1,verb:irregular,"university_academia, traveling, personality_traits, identification",French,by_yourself
Definite article (French),B2,4847d26f-f665-4577-8c3b-6dedccc7f898,determiner:definite_article,"accidents_catastrophes, furniture_decor, cars, hotels_accomodation, boats_ships",French,by_yourself
Subjunctive mood (French),B1,a56541d8-e8b3-4646-8846-845f872de679,verb:subjunctive_mood,"devices_tools_gadgets, numbers, outdoors",French,cards
Comparative (French),C2,caec02a5-6412-4a42-8163-b8ef7c7d7ee4,"adjective:comparative, verb:infinitive","bikes, greetings_goodbyes, childhood, weather_climate, compliments",French,Live
Interjections 3 (French),B2,bb9c774a-e953-4783-a270-9fc0880c6be3,interjection,"body, dishes, beverages",French,Live
Formal and possessive pronouns (French),A1,4192d13a-ccc7-4ac9-8c3e-3d902208c9f0,"conjunction, pronoun:formal_pronoun, pronoun:possessive",house_rooms,French,section
Irregular (French),C1,2f56b7ce-32fc-4a01-b158-5d0349c4dd9e,"verb:irregular, pronoun:stressed, noun:appreciative_derivation","plants, accidents_catastrophes, childhood, crime_law, furniture_decor",French,by_yourself
Conjunctions 5 (French),B2,df7aedb4-9c3f-4592-8058-0f1291dc3747,conjunction,public_transit_trains,French,by_yourself
Future tense (French),A2,fb1dfa94-424d-4b5b-80c7-e6825b18afa8,verb:future_tense,religions,French,section
Superlative (French),B2,d463e0b9-68a6-4118-aa79-b3e0043d4b26,"adjective:superlative, noun:gender","job_applications, greetings_goodbyes, sweets_desserts",French,section
Impersonal (French),C1,0a2b8524-97f7-45d6-95c5-7b355a6f336f,"pronoun:impersonal, pronoun:relative","hotels_accomodation, outdoors",French,Live
Superlative (French),C2,8ea2a63b-9be7-4c46-af9c-22038f5c3d35,"adverb:superlative, noun:appreciative_derivation","argumentation, shopping, accidents_catastrophes, money_banking",French,by_yourself
Indirect object (French),B2,69eb9791-78cd-4be0-9b83-23335e78e928,"pronoun:indirect_object, adjective:superlative, pronoun:possessive","environmental_issues, childhood, plants, hobbies_games, devices_tools_gadgets",French,by_yourself
Gender (French),A1,aaf9c64b-2966-4d1e-8ed1-35a7cf9dd02b,"noun:gender, pronoun:stressed, verb:passive_voice","personality_traits, materials, school_classroom, sweets_desserts, dishes",French,Live
Auxiliary (French),B1,12e074d1-c213-445b-bd63-ef8237b3ebc2,"verb:auxiliary, verb:imperfect_aspect, determiner:indefinite_article","colors, polite_expressions, crime_law, week_dates",French,Live
Informal pronoun (French),A2,a45525fc-0862-45ea-9fad-5a509c06e99a,"pronoun:informal_pronoun, noun:genitive_case","going_out, death, animals_wild",French,by_yourself
Interrogative (French),A1,74cbc385-6ed6-4497-b76c-f218e02a0170,pronoun:interrogative,"media, numbers",French,Live
Genitive case (French),C1,01d55c6b-5c53-4681-92da-dba216f28f89,noun:genitive_case,"nature_landscapes, friends, sweets_desserts, greetings_goodbyes, body",French,section
Partitive article (French),B1,004f9fb5-3117-46a5-92b1-6614d872c6a2,"determiner:partitive_article, pronoun:indefinite, pronoun:impersonal","greetings_goodbyes, hotels_accomodation, plants",French,by_yourself
Dative case (French),A1,6f7b134c-b07e-44b3-a1fe-25b88ce1156f,noun:dative_case,"job_applications, cooking_tableware, countryside",French,section
Prepositions (French),C2,acc8f9cb-b79f-470c-a142-5cbfb0ae9701,preposition,"physical_appearance, cars, polite_expressions, going_out",French,Live
Definite form (French),C2,78469849-1e56-44f7-868d-85f128e31a8a,"noun:definite_form, verb:past_tense",groceries_fruits_vegetables,French,section
Indefinite form (French),A1,c0029ec6-37f0-4de9-9acb-dacd80539a61,"noun:indefinite_form, interjection, pronoun:adverbial","film_tv, nations_geography",French,cards
Gender (French),C1,8fbe9f2b-cc2d-4231-8f36-4416456c8dda,"noun:gender, verb:gerund",furniture_decor,French,section
Prepositions 2 (French),C2,229d21cc-6cc6-480d-b0dd-cc69ae230293,preposition,"week_dates, music",French,section
Present tense (French),C2,60920b90-dffa-44a6-be46-652b4cc9c0e2,"verb:present_tense, determiner:definite_article, verb:future_tense","house_rooms, shapes",French,cards
Plural (French),C1,2a5652a7-79a2-45bf-a2ce-38f2df0e9d8a,noun:plural,"university_academia, outdoors, measurement_quantities, literature, planes_airports",French,by_yourself
Past tense (French),C2,b7591908-a334-482d-9ae3-078f72de4992,verb:past_tense,"town_city, natural_sciences, hygiene_cosmetics, childhood",French,section
Indefinite pronouns (French),A1,0a345e46-8d7a-47ab-9235-5719b6057453,"number_ordinal, pronoun:indefinite","film_tv, university_academia, appliances, money_banking",French,by_yourself
Cardinal numbers and animals (French),A1,c95a2fb9-5b1c-471c-a09b-631f7732a442,"number_cardinal, adverb","animals_wild, locations_directions",French,cards
Absolute superlative (French),B2,411544da-19ca-4aa2-b21d-280cf98cb03c,"adjective:absolute_superlative, interjection, verb:gerund","shapes, religions, yard_garden",French,section
Appreciative derivation (French),A1,3f4d6ba4-7f65-4f11-947d-3d67016b5c05,noun:appreciative_derivation,"body, town_city, devices_tools_gadgets, materials, public_transit_trains",French,by_yourself
Gender (French),B1,f73fc5c8-0387-4341-a8e1-8ad04a8635f7,noun:gender,groceries_fruits_vegetables,French,cards
Subjunction and cardinal numbers (French),A2,636726e2-431d-4154-9fd5-b13f1431755f,"number_cardinal, verb:subjunctive_mood",going_out,French,by_yourself
Stressed (French),B1,547a3066-9674-4a8b-a26d-b9950616b082,"pronoun:stressed, pronoun:relative","media, phones, theater_shows, space",French,cards
Indirect object (French),A1,d2b89844-26f3-493c-8203-367617a43a0e,"pronoun:indirect_object, pronoun:interrogative, pronoun:possessive",nature_landscapes,French,Live
Impersonal (French),B1,cdaf77a5-20ce-4c55-99d8-218d7a272f4f,"pronoun:impersonal, verb:gerund","public_transit_trains, traditions_celebrations",French,Live
Demonstrative (French),B1,b30277ec-9049-4ee0-96a5-f3399c50df30,"determiner:demonstrative, pronoun:relative, noun:appreciative_derivation","house_rooms, university_academia",French,by_yourself
Present tense (French),C1,c7b7609b-cf1c-468b-aff6-0120333b5698,verb:present_tense,"art_design, love, money_banking, week_dates",French,section
Definite form (French),C1,966860b3-c367-4060-b3c7-cedea702b077,"noun:definite_form, pronoun:stressed, adjective","old_age, plants",French,by_yourself
Subjunctive mood (French),A2,9e4cb6bb-77e1-47c3-8a47-ccfd0728d5d1,verb:subjunctive_mood,"house_rooms, nature_landscapes, measurement_quantities, professions, argumentation",French,Live
Absolute superlative (French),A2,9707d29d-98ea-45ce-8fb3-9655edb375eb,"adjective:absolute_superlative, adjective","crime_law, senses, cooking_tableware, public_transit_trains, colors",French,by_yourself
Superlative (French),B1,612e0e18-a777-4e24-bb7a-a5f50b7a38ef,"adjective:superlative, adverb","non_understanding, locations_directions, old_age",French,section
Reflexive (French),C1,5e9b1952-a5c9-401b-b79e-a5b66485cda6,"pronoun:reflexive, verb:conditional_mood","personality_traits, art_design, money_banking, professions, physical_appearance",French,section
Adjectives 5 (French),C2,c3dde960-03f2-42a1-82ca-2f14fa1927a8,adjective,"work_life, countryside",French,cards
Relative pronouns (French),A1,a645abd8-c2c1-4dfe-8a21-bb1fc0049c19,"adverb, pronoun:relative","family, bikes, adulthood, planes_airports",French,Live
Infinitive (French),C1,4a2a13f9-426d-4288-8bdb-66ad4d204ed8,"verb:infinitive, number_ordinal, interjection","politics, nature_landscapes, senses, cooking_tableware, beverages",French,Live
Informal pronoun (French),C2,0dcde45c-cf1d-4b78-b2ec-c53602435607,"pronoun:informal_pronoun, noun:definite_form",measurement_quantities,French,Live
Conditional mood (French),C2,7f7d507a-2e4c-4b68-9b66-614b7c6ecd2c,"verb:conditional_mood, pronoun:interrogative, verb:modal","outdoors, groceries_fruits_vegetables, internet",French,by_yourself
Superlative (French),B2,c1516d43-37ed-4508-85ea-8f877f43d396,adverb:superlative,"shapes, work_life, shopping, emotions_states",French,section
Conditional mood (French),B2,d33329b6-d72d-4efc-927f-1d3df138400f,"verb:conditional_mood, verb:gerund","groceries_animal_products, adulthood, politics, university_academia, vacation",French,by_yourself
Interrogatives (Italian),C1,d7451cfc-8a55-4d0c-9ddd-03c2a4bcfd48,pronoun:interrogative,"phones, emotions_states",Italian,section
Absolute superlative (Italian),B1,1645d2c6-9b93-4404-8f8b-707c8affcf1e,"adjective:absolute_superlative, verb:future_tense","space, nations_geography, outdoors, locations_directions, traditions_celebrations",Italian,cards
Prepositions and pronouns (Italian),A2,01319e10-4af3-42c6-952d-2a0bf96b269a,"preposition, pronoun:impersonal","non_understanding, week_dates, hobbies_games, love",Italian,Live
Progressive aspect (Italian),B1,9c105bc6-2320-4d93-bd3c-2c4d26453db7,verb:progressive_aspect,"materials, university_academia, emotions_states",Italian,by_yourself
Comparatives (Italian),A1,f293ed62-09fe-4f19-81b1-50c2ff5a8df1,"adjective:comparative, adverb","public_transit_trains, locations_directions",Italian,cards
Irregular verbs (Italian),B1,489f00ef-cdc5-43e9-a8da-c16dc63a598c,"verb:irregular, verb:conditional_mood, noun:definite_form","outdoors, groceries_fruits_vegetables, locations_directions, furniture_decor",Italian,by_yourself
Syntax (Italian),C1,7a108c1e-38cd-4f78-9a00-72697e1fff8c,"sentence:syntax, verb:infinitive","media, religions, money_banking, town_city, emotions_states",Italian,section
Superlatives (Italian),C1,fa1a20a0-0ad1-41f8-98ff-f31b19c9597f,"adverb:superlative, determiner:definite_article","love, adulthood",Italian,Live
Indefinite form (Italian),B1,24c80166-d67b-4d7f-92c3-d62f046f8a95,noun:indefinite_form,"dishes, bikes",Italian,Live
Conditional mood (Italian),B2,c54a9505-d6f5-4247-841e-618abb9df52b,verb:conditional_mood,"university_academia, theater_shows, crime_law, bikes, weather_climate",Italian,section
Partitive article (Italian),A2,5a5374de-b741-44eb-9f3f-64f1066a8620,determiner:partitive_article,"clock_time_of_day, religions, shopping, computers_hardware",Italian,by_yourself
Adjectives (Italian),C1,953fbfb1-0397-4792-9f86-66db75ef9456,adjective,money_banking,Italian,cards
Adjectives and present (Italian),C1,7d83ec3f-986f-40f4-86c9-51f0eaf4e571,"adjective, verb:present_tense",music,Italian,by_yourself
Participle (Italian),C2,6ba68846-46f5-457a-a039-02e16422aa91,verb:participle,"town_city, literature, numbers, public_transit_trains",Italian,section
Participle (Italian),A2,da954010-faeb-4b4b-9046-6eed5a256bd9,"verb:participle, determiner:demonstrative, adverb:comparative","film_tv, job_applications, clock_time_of_day, numbers, hygiene_cosmetics",Italian,cards
Nouns and prepositions (Italian),C1,3292c89f-46e3-474d-bec3-6c3554c8bc1a,"preposition, noun:definite_form, noun:appreciative_derivation","appliances, emotions_states",Italian,cards
Possessive (Italian),C1,ae384d98-59af-459a-abf7-0196881783c9,"pronoun:possessive, pronoun:reflexive, determiner:definite_article","media, yard_garden, furniture_decor, space, week_dates",Italian,section
Modal (Italian),B1,84c96e99-2a5c-4023-be0e-4c4f3ab56b46,"verb:modal, adjective:comparative","bikes, family",Italian,section
Dative case (Italian),A2,fd826833-0843-408a-a159-279683ecfe80,"noun:dative_case, sentence:interrogative, pronoun:demonstrative","university_academia, hygiene_cosmetics",Italian,Live
Gender (Italian),B1,656b7e31-44b3-46b8-bb66-2db1d7e5e02e,noun:gender,"old_age, numbers, sweets_desserts, public_transit_trains, literature",Italian,by_yourself
Conjunctions (Italian),C1,000b662d-128e-4a81-982e-b28c045ecb9d,"conjunction, sentence:interrogative, verb:participle","computers_hardware, nature_landscapes, furniture_decor",Italian,cards
Singular (Italian),C2,db0dc314-9213-4d7d-9e4f-377e5b59930e,"noun:singular, sentence:interrogative","polite_expressions, planes_airports, dishes, film_tv",Italian,section
Adverbs and gender (Italian),B2,9eda1c29-a99d-4f9e-91f0-73008bb266b9,"adverb, noun:gender, verb:auxiliary","old_age, groceries_fruits_vegetables",Italian,section
Superlative (Italian),A2,25cf0272-0aad-48cd-b7fe-34dad8110992,adverb:superlative,religions,Italian,section
Direct object (Italian),A2,2c323f20-cfd2-424c-9c3a-448aadb9f101,"pronoun:direct_object, verb:future_tense","public_transit_trains, family, countryside, traveling",Italian,cards
Informal pronoun (Italian),C2,cdd6a275-a3c8-4131-81bb-2dc3af4c4ebf,"pronoun:informal_pronoun, verb:imperfect_aspect, verb:conditional_mood","measurement_quantities, non_understanding, appliances",Italian,by_yourself
Appreciative derivation (Italian),B1,b0156cd7-349f-487a-9fb3-23c0d6852eb6,"noun:appreciative_derivation, noun:genitive_case, pronoun:direct_object",business,Italian,by_yourself
Interjections (Italian),C1,891039e5-c8e3-4caf-8e53-4c580ed96499,"interjection, verb:finite","routines_habits, argumentation, traveling, family",Italian,Live
Progressive aspect (Italian),B2,9af87368-8934-4b24-8e27-aaf5257813e8,verb:progressive_aspect,"town_city, beverages, natural_sciences, clothes_shoes, compliments",Italian,section
Dative case (Italian),C1,fef82ef5-9ed0-47a9-b545-bd12ce5545bc,"noun:dative_case, noun:appreciative_derivation, verb:modal","phones, art_design, internet, languages, physical_appearance",Italian,by_yourself
Definite form (Italian),C1,d9af2ec2-481c-45ad-bfa5-54281e066cc3,noun:definite_form,"hygiene_cosmetics, devices_tools_gadgets, groceries_fruits_vegetables, animals_wild",Italian,section
Interrogative (Italian),C1,a1cf18e1-e5ff-4ea7-a09b-addc23b5a14d,"sentence:interrogative, preposition","emotions_states, body",Italian,section
Stressed (Italian),C2,42a3a550-67e2-44d5-9c34-bd3db7a39cc8,pronoun:stressed,"week_dates, phones",Italian,cards
Gender (Italian),B1,f884ccaa-4545-472c-a384-0bb16de2afd9,noun:gender,"house_rooms, university_academia, dining_restaurants, body",Italian,section
Comparative (Italian),C2,0f30cf1d-b65a-4db8-9784-58866d97bab9,adverb:comparative,"public_transit_trains, crime_law, hotels_accomodation",Italian,section
Numbers (Italian),B2,52488b21-ad9a-4de9-baaf-ba2714705d4f,"number_cardinal, noun:dative_case, adjective:comparative","physical_appearance, compliments",Italian,section
Progressive aspect (Italian),C2,40aa336e-e161-4f2b-a84d-052716c9c964,verb:progressive_aspect,"childhood, space, countryside",Italian,cards
Finite (Italian),C1,5b8d8617-5231-42a6-b481-9cce27317334,"verb:finite, determiner:indefinite_article, pronoun:stressed",hygiene_cosmetics,Italian,cards
Participle (Italian),C2,e6f2ba23-1708-4b84-96ac-93b00736909d,verb:participle,"film_tv, personality_traits, hygiene_cosmetics, dining_restaurants, art_design",Italian,by_yourself
Gender (Italian),C1,7dec728d-b8af-499c-9408-177b5e54acb1,noun:gender,"nations_geography, theater_shows, groceries_fruits_vegetables, natural_sciences, shopping",Italian,section
Interrogative (Italian),A2,36c92605-a04c-4113-9863-7896d33e9e00,"sentence:interrogative, verb:auxiliary","measurement_quantities, theater_shows, emotions_states, colors, nations_geography",Italian,cards
Singular (Italian),A2,ad6267b6-0fab-4873-8d87-f237ae422fa4,"noun:singular, verb:finite","vacation, accidents_catastrophes, personality_traits, sports_exercise",Italian,by_yourself
Passive voice (Italian),A2,ea57acf8-da2e-438b-a6b0-7feb730ce929,verb:passive_voice,"shapes, groceries_grains",Italian,Live
Ordinal numbers (Italian),A2,dfdadc37-bb21-479a-b750-2df98b96ee84,number_ordinal,"art_design, hobbies_games, sports_exercise, illness_injury, friends",Italian,Live
Prepositions and adjectives (Italian),A2,51931aa3-9943-4b8d-849f-a0ccb5e95033,"preposition, adjective:superlative, pronoun:possessive","personality_traits, media, outdoors",Italian,Live
Infinitive (Italian),B1,087a5769-ef6e-4848-b498-60503ce81dcc,"verb:infinitive, verb:future_tense, noun:plural","dining_restaurants, colors, university_academia",Italian,Live
Infinitive (Italian),C1,e8009d9c-5235-459a-a7f5-a89ae3798447,verb:infinitive,"film_tv, shopping, shapes, planes_airports",Italian,Live
Cardinal numbers and weather (Italian),A1,809a5e44-e6f7-47bf-a9c1-c343311a5dd4,"number_cardinal, verb:auxiliary",weather_climate,Italian,by_yourself
Indefinite form (Italian),B1,814ba80b-2f05-4014-9f30-ca1e4da5dcee,"noun:indefinite_form, determiner:indefinite_article, pronoun:personal","literature, theater_shows",Italian,Live
Prepositions and possessives (Italian),B1,bc651b38-e3cc-4652-b9e6-53f7605fdcde,"preposition, pronoun:possessive, verb:passive_voice","groceries_fruits_vegetables, dining_restaurants, week_dates",Italian,section
Nominative case (Italian),A2,edb6560f-3bcd-4888-b6b4-d34aee4d467b,noun:nominative_case,"personality_traits, numbers",Italian,by_yourself
Gender (Italian),C1,264681ae-d3b3-462f-863a-2de316238e20,"noun:gender, adjective:superlative","accidents_catastrophes, week_dates, illness_injury",Italian,cards
Impersonal (Italian),C1,3d969d7a-5e61-40a3-ac8a-fa6df8e2191c,"pronoun:impersonal, verb:infinitive, verb:finite","music, crime_law, animals_wild",Italian,by_yourself
Genitive case (Italian),A2,5df43534-841c-467f-9191-f910ae074585,"noun:genitive_case, verb:gerund, noun:dative_case","town_city, furniture_decor, colors, plants",Italian,cards
Plural (Italian),C2,df5754f6-5083-47c5-9f4e-ff44d7b0461e,"noun:plural, verb:future_tense","compliments, non_understanding, vacation, polite_expressions, music",Italian,cards
Plural (Italian),A2,0aa08387-eb5f-4d68-b5dc-97d2e07775f5,noun:plural,"love, clock_time_of_day, death, house_rooms, phones",Italian,by_yourself
Gender (Italian),C2,a1cf0fb2-be30-4311-add1-191ad53967c9,noun:gender,"religions, dining_restaurants, non_understanding, body, weather_climate",Italian,cards
Finite (Italian),C1,ff8c5bee-efd5-4db7-bcac-4b4c3bf5649d,"verb:finite, pronoun:indefinite, noun:accusative_case",nations_geography,Italian,Live
Indefinite (Italian),C2,5396e5b9-cfa6-4bae-a632-7bd1567bc02e,"pronoun:indefinite, noun:dative_case, sentence:syntax","shapes, space, routines_habits, personality_traits",Italian,cards
Modal (Italian),A2,5c09f4a2-55fb-4b9c-8523-94353221858c,"verb:modal, pronoun:indefinite, noun:gender","film_tv, phones, hygiene_cosmetics, space, bikes",Italian,Live
Dative case (Italian),C2,8999eeb4-4c6e-4dbd-9d76-7a87b8493912,"noun:dative_case, noun:appreciative_derivation, determiner:definite_article","body, housework, colors",Italian,cards
Possessive (Italian),A1,6d0e0953-0298-4a08-bdc8-1b833b0f89c5,pronoun:possessive,"religions, body",Italian,section
Past tense (Italian),C2,9f499c77-7780-400d-a1d0-4237fac334d0,"verb:past_tense, verb:imperfect_aspect","measurement_quantities, phones, professions",Italian,by_yourself
Present tense (Italian),C1,d15c0f41-93b0-41d2-bf54-1d52b069f6ee,"verb:present_tense, adjective:superlative","senses, animals_domesticated, polite_expressions, clothes_shoes",Italian,section
Dative case (Italian),C1,4074d109-787c-4023-88ba-a935b992f4e9,"noun:dative_case, sentence:syntax","colors, old_age, outdoors, weather_climate",Italian,section
Absolutes and prepositions (Italian),A2,e3ef888e-9353-4bf4-8857-08f58d3a242e,"preposition, adjective:absolute_superlative",routines_habits,Italian,section
Finite (Italian),B2,3b751e32-3354-4349-bc8b-e1d486037a49,"verb:finite, verb:auxiliary, number_cardinal","countryside, dining_restaurants, cooking_tableware",Italian,cards
Syntax (Italian),C1,3c6e0b95-e93b-4e31-b4fe-9a6a065ece21,sentence:syntax,"friends, clock_time_of_day, colors",Italian,Live
Demonstrative (Italian),B1,a93ee28c-671d-403c-9e59-a8d344fe81b2,"determiner:demonstrative, adjective:absolute_superlative","animals_domesticated, materials, dishes, colors, accidents_catastrophes",Italian,by_yourself
Indefinite form (Italian),A2,611aca5b-3a1c-4faa-a41f-e09704956588,"noun:indefinite_form, determiner:possessive, pronoun:formal_pronoun",physical_appearance,Italian,section
Present tense (Italian),C1,0715e47e-c834-4e2f-8bf3-b2d368cf421c,"verb:present_tense, determiner:indefinite_article",dishes,Italian,by_yourself
Ordinal numbers 2 (Italian),B1,bc0d6adf-5711-4ca6-91a2-b869bc6482e0,number_ordinal,"devices_tools_gadgets, clock_time_of_day",Italian,Live
Superlative (Italian),A2,41dd65ea-8ba4-42f2-88f3-0de5f5b13f4c,"adjective:superlative, adjective:comparative","art_design, senses, nature_landscapes, appliances, argumentation",Italian,by_yourself
Stressed (Italian),C1,7634cf28-1dbe-4690-b7bc-1b15ed5c7174,"pronoun:stressed, pronoun:formal_pronoun, noun:nominative_case",theater_shows,Italian,section
Indefinite (Italian),B2,04e8fb14-f1a2-45d5-a66a-a527f5be064f,"pronoun:indefinite, verb:participle, determiner:partitive_article","sweets_desserts, friends",Italian,Live
Definite form (Italian),C2,fcefa31a-54c4-475f-b40a-b1bb4b6a901d,"noun:definite_form, noun:appreciative_derivation",describing_objects,Italian,Live
Nominative case (Italian),C2,3b72dda4-10a4-4bd1-917f-0f91ba26ae4e,noun:nominative_case,"languages, traditions_celebrations, old_age, groceries_fruits_vegetables, adulthood",Italian,by_yourself
Auxiliary (Italian),C2,aa81b884-5db2-43b7-9cfe-72cb29f7d00d,"verb:auxiliary, pronoun:indirect_object, pronoun:direct_object","animals_wild, greetings_goodbyes, money_banking, crime_law",Italian,cards
Partitive article (Italian),C1,7a6a0394-4879-4dd8-9fd6-2df1f5bae16f,"determiner:partitive_article, noun:genitive_case, verb:present_tense","town_city, countryside",Italian,section
Demonstrative (Italian),C1,17523577-c0e7-408d-84aa-a8a49078fb95,determiner:demonstrative,"going_out, furniture_decor, beverages, hygiene_cosmetics",Italian,cards
Indirect object (Italian),A1,05087605-e654-49d3-b278-0261bec877c0,"pronoun:indirect_object, noun:genitive_case, verb:passive_voice",bikes,Italian,by_yourself
Interjections (Italian),A1,29438ef3-ec21-4945-83f5-6b3f98613da0,interjection,"adulthood, devices_tools_gadgets",Italian,Live
Comparative (Italian),A2,6a95b7ca-5eb3-4bfd-9764-026bb0289eb0,"adjective:comparative, pronoun:reflexive","nature_landscapes, emotions_states, media",Italian,section
Imperfect aspect (Italian),C2,69bfcee1-c4b3-41f8-a901-09f39bfbeda0,"verb:imperfect_aspect, verb:gerund","money_banking, art_design",Italian,cards
Gerund (Italian),A1,584abcc8-54c1-493e-aeec-0b6251fbc503,"verb:gerund, adjective:absolute_superlative, sentence:interrogative",outdoors,Italian,cards
Nominative case (Italian),B2,834120e6-67f5-4622-b047-8a9843a23039,"noun:nominative_case, noun:appreciative_derivation, verb:future_tense","shapes, school_classroom",Italian,by_yourself
Relative (Italian),C1,ebdef41c-4694-47d1-aa92-493d0658e209,"pronoun:relative, noun:dative_case, interjection","housework, school_classroom",Italian,by_yourself
Dative case (Italian),A2,1bfc4d64-028f-4755-bd61-0841b1e2fdc8,"noun:dative_case, pronoun:adverbial, verb:finite",internet,Italian,Live
Gender (Italian),A2,541b67bb-e996-4e13-b640-4e3b914e3b50,"noun:gender, noun:definite_form, noun:dative_case","describing_objects, work_life, body, nations_geography, dishes",Italian,cards
Relative (Italian),B1,4acee976-2955-483b-b5c0-12a0b342e8b6,pronoun:relative,"planes_airports, music",Italian,by_yourself
Participle (Italian),C1,ba0150a8-9270-4bd9-97e8-e27a4ef89b2f,verb:participle,"dining_restaurants, shopping, routines_habits, film_tv, physical_appearance",Italian,cards
Possessive (Italian),C2,7de185c6-b55b-4edb-bf4f-114de59a7625,"determiner:possessive, noun:singular","dishes, hygiene_cosmetics",Italian,Live
Subjunctive mood (Italian),C1,34540e7e-482f-4dde-af02-f394bf5cf3b8,"verb:subjunctive_mood, sentence:interrogative, noun:definite_form","media, phones, boats_ships, measurement_quantities, housework",Italian,section
